ID,Make,Model,Type,Origin,DriveTrain,EngineSize,Cylinders,HP,MPG_City,MPG_High,Weight,Wheelbase,Length,Invoice
1,Hyundai,Tucson,SUV,asia,all,4.5,6,300,19,24,3000,150,200,23000
2,Kia,Sportage,SUV,asia,,5,6,3,18,19,200,180,210,38000
3,SangYong,Musso,Cab,asia,front,5,6,345,21,23,2500,210,210,38000
4,Samsung,SM6,sedan,asia,front,4.5,6,285,20,23,2500,120,210,33000
5,Acura,MDX,SUV,asia,all,3.5,6,265,17,23,4451,106,189,33337
6,Acura,RSX Type S 2dr,Sedan,asia,front,2,4,200,24,31,2778,101,172,21761
7,Acura,TSX 4dr,Sedan,asia,front,2.4,4,200,22,29,3230,105,183,24647
8,Acura,TL 4dr,Sedan,asia,front,3.2,6,270,20,28,3575,108,186,30299
9,Acura,3.5 RL 4dr,Sedan,asia,front,3.5,6,225,18,24,3880,115,197,39014
10,Acura,3.5 RL w/Navigation 4dr,Sedan,asia,front,3.5,6,225,18,24,3893,115,197,41100
11,Acura,NSX coupe 2dr manual S,Sports,asia,rear,3.2,6,290,17,24,3153,100,174,79978
12,Audi,A4 1.8T 4dr,Sedan,europe,front,1.8,4,170,22,31,3252,104,179,23508
13,Audi,A41.8T convertible 2dr,Sedan,europe,front,1.8,4,170,23,30,3638,105,180,32506
14,Audi,A4 3.0 4dr,Sedan,europe,front,3,6,220,20,28,3462,104,179,28846
15,Audi,A4 3.0 Quattro 4dr manual,Sedan,europe,all,3,6,220,17,26,3583,104,179,30366
16,Audi,A4 3.0 Quattro 4dr auto,Sedan,europe,all,3,6,220,18,25,3627,104,179,31388
17,Audi,A6 3.0 4dr,Sedan,europe,front,3,6,220,20,27,3561,109,192,33129
18,Audi,A6 3.0 Quattro 4dr,Sedan,europe,all,3,6,220,18,25,3880,109,192,35992
19,Audi,A4 3.0 convertible 2dr,Sedan,europe,front,3,6,220,20,27,3814,105,180,38325
20,Audi,A4 3.0 Quattro convertible 2dr,Sedan,europe,all,3,6,220,18,25,4013,105,180,40075
21,Audi,A6 2.7 Turbo Quattro 4dr,Sedan,europe,all,2.7,6,250,18,25,3836,109,192,38840
22,Audi,A6 4.2 Quattro 4dr,Sedan,europe,all,4.2,8,300,17,24,4024,109,193,44936
23,Audi,A8 L Quattro 4dr,Sedan,europe,all,4.2,8,330,17,24,4399,121,204,64740
24,Audi,S4 Quattro 4dr,Sedan,europe,all,4.2,8,340,14,20,3825,104,179,43556
25,Audi,RS 6 4dr,Sports,europe,front,4.2,8,450,15,22,4024,109,191,76417
26,Audi,TT 1.8 convertible 2dr (coupe),Sports,europe,front,1.8,4,180,20,28,3131,95,159,32512
27,Audi,TT 1.8 Quattro 2dr (convertible),Sports,europe,all,1.8,4,225,20,28,2921,96,159,33891
28,Audi,TT 3.2 coupe 2dr (convertible),Sports,europe,all,3.2,6,250,21,29,3351,96,159,36739
29,Audi,A6 3.0 Avant Quattro,Wagon,europe,all,3,6,220,18,25,4035,109,192,37060
30,Audi,S4 Avant Quattro,Wagon,europe,all,4.2,8,340,15,21,3936,104,179,44446
31,BMW,X3 3.0i,SUV,europe,all,3,6,225,16,23,4023,110,180,33873
32,BMW,X5 4.4i,SUV,europe,all,4.4,8,325,16,22,4824,111,184,47720
33,BMW,325i 4dr,Sedan,europe,rear,2.5,6,184,20,29,3219,107,176,26155
34,BMW,325Ci 2dr,Sedan,europe,rear,2.5,6,184,20,29,3197,107,177,28245
35,BMW,325Ci convertible 2dr,Sedan,europe,rear,2.5,6,184,19,27,3560,107,177,34800
36,BMW,325xi 4dr,Sedan,europe,all,2.5,6,184,19,27,3461,107,176,27745
37,BMW,330i 4dr,Sedan,europe,rear,3,6,225,20,30,3285,107,176,32525
38,BMW,330Ci 2dr,Sedan,europe,rear,3,6,225,20,30,3285,107,176,33890
39,BMW,330xi 4dr,Sedan,europe,all,3,6,225,20,29,3483,107,176,34115
40,BMW,525i 4dr,Sedan,europe,rear,2.5,6,184,19,28,3428,114,191,36620
41,BMW,330Ci convertible 2dr,Sedan,europe,rear,3,6,225,19,28,3616,107,177,40530
42,BMW,530i 4dr,Sedan,europe,rear,3,6,225,20,30,3472,114,191,41170
43,BMW,545iA 4dr,Sedan,europe,rear,4.4,8,325,18,26,3814,114,191,50270
44,BMW,745i 4dr,Sedan,europe,rear,4.4,8,325,18,26,4376,118,198,63190
45,BMW,745Li 4dr,Sedan,europe,rear,4.4,8,325,18,26,4464,123,204,66830
46,BMW,M3 coupe 2dr,Sports,europe,rear,3.2,6,333,16,24,3415,108,177,44170
47,BMW,M3 convertible 2dr,Sports,europe,rear,3.2,6,333,16,23,3781,108,177,51815
48,BMW,Z4 convertible 2.5i 2dr,Sports,europe,rear,2.5,6,184,20,28,2932,98,161,31065
49,BMW,Z4 convertible 3.0i 2dr,Sports,europe,rear,3,6,225,21,29,2998,98,161,37575
50,BMW,325xi Sport,Wagon,europe,all,2.5,6,184,19,26,3594,107,176,30110
51,Buick,Rainier,SUV,usa,all,4.2,6,275,15,21,4600,113,193,34357
52,Buick,Rendezvous CX,SUV,usa,front,3.4,6,185,19,26,4024,112,187,24085
53,Buick,Century Custom 4dr,Sedan,usa,front,3.1,6,175,20,30,3353,109,195,20351
54,Buick,LeSabre Custom 4dr,Sedan,usa,front,3.8,6,205,20,29,3567,112,200,24282
55,Buick,Regal LS 4dr,Sedan,usa,front,3.8,6,200,20,30,3461,109,196,22835
56,Buick,Regal GS 4dr,Sedan,usa,front,3.8,6,240,18,28,3536,109,196,26047
57,Buick,LeSabre Limited 4dr,Sedan,usa,front,3.8,6,205,20,29,3591,112,200,29566
58,Buick,Park Avenue 4dr,Sedan,usa,front,3.8,6,205,20,29,3778,114,207,32244
59,Buick,Park Avenue Ultra 4dr,Sedan,usa,front,3.8,6,240,18,28,3909,114,207,36927
60,Cadillac,Escalade,SUV,usa,front,5.3,8,295,14,18,5367,116,199,48377
61,Cadillac,SRX V8,SUV,usa,front,4.6,8,320,16,21,4302,116,195,43523
62,Cadillac,CTS VVT 4dr,Sedan,usa,rear,3.6,6,255,18,25,3694,113,190,28575
63,Cadillac,Deville 4dr,Sedan,usa,front,4.6,8,275,18,26,3984,115,207,41650
64,Cadillac,Deville DTS 4dr,Sedan,usa,front,4.6,8,300,18,26,4044,115,207,46362
65,Cadillac,Seville SLS 4dr,Sedan,usa,front,4.6,8,275,18,26,3992,112,201,43841
66,Cadillac,XLR convertible 2dr,Sports,usa,rear,4.6,8,320,17,25,3647,106,178,70546
67,Cadillac,Escalade EXT,Truck,usa,all,6,8,345,13,17,5879,130,221,48541
68,Chevrolet,Suburban 1500 LT,SUV,usa,front,5.3,8,295,14,18,4947,130,219,37422
69,Chevrolet,Tahoe LT,SUV,usa,all,5.3,8,295,14,18,5050,116,197,36287
70,Chevrolet,TrailBlazer LT,SUV,usa,front,4.2,6,275,16,21,4425,113,192,27479
